Name,pct_white,pct_black,pct_hispanic,pct_asian,pct_native,pct_hipi
Ancarows Landing,0.10436596793480575,0.7590360127420964,0.05134706779756266,6.031972971180495e-05,0.002701176477300136,0.0
Beaufont,0.19078361035638625,0.7762060746080156,0.025591725216945815,0.005609901052062949,1.8421401818063e-05,0.0
Belle and Mayo Islands,0.49569745577859214,0.34167421718566343,0.026587364434311454,0.027043528367630992,1.1566718908712782e-06,0.0
Bellemeade,0.10414168388490597,0.759193041003449,0.05120539552736267,1.6600281601689284e-05,0.002716869511092269,0.0
Bellevue,0.6319712809763065,0.27920083949392077,0.018268783598093495,0.014295628228436106,0.0,0.0
Belmont Woods,0.1873862349770765,0.7117542611226558,0.08089909170038738,0.0,4.215417784264208e-06,0.0
Belt Center,0.1123863886413184,0.6201326826939308,0.2026013811675062,0.02035667488472735,0.0008248447399257844,0.0
Biotech and MCV District,0.37409661103572106,0.5295683834259293,0.036414285920788776,0.029571235504567518,5.7053638059345665e-05,0.0
Blackwell,0.2149645687626109,0.6864930764089476,0.012952591141980075,0.0037977062721286686,4.440333226720533e-06,0.0
Brauers,0.05840075987951585,0.8951032741816615,0.02268643013124486,6.9867288960339175e-09,0.003144652912231442,0.0
British Camp Farms,0.23284888907047507,0.3082744642948164,0.3739594735186718,0.014125101094702499,2.7782518440783306e-06,0.0
Broad Rock,0.1895344208181027,0.7150500810851136,0.04998997431400975,0.0017407325783189791,0.0007388183891782919,0.0
Broad Rock Industrial Park,0.1857842772758604,0.7197422080216964,0.06985776818925893,0.001481790169839734,1.3874883092704768e-05,0.0
Broad Rock Sports Complex,0.1807880955723124,0.6198748982653381,0.1541643766825522,0.00013075559471234039,0.010213876140964131,0.0
Brookbury,0.18893823192133488,0.6983073426082912,0.09062558987826311,0.00047337617708951635,0.0,0.0
Brookhaven Farms,0.18659209365834897,0.711021094921289,0.0822895001840254,5.709485374995067e-05,2.4522434936474344e-06,0.0
Brookland Park,0.25538411270723255,0.6653521921090774,0.016984564323502514,0.0037948327700387317,0.005220345449317907,0.0
Bryan Park,0.7157421760455962,0.24874749429454102,0.02086637816493649,0.0005971443392411391,0.0,0.0
Byrd Park,0.4541829779923169,0.49514364358784185,0.016916456132454693,0.020010243662244603,0.0,0.0
Capitol District,0.5214485619237655,0.3400178102068696,0.038099790754082555,0.05408428890479897,0.0,0.0
Carillon,0.7075512601634123,0.23485829038805686,0.005501260590968826,0.03944965727749339,0.0,0.0
Carver,0.35458302580906464,0.47572977339079114,0.05825406750996228,0.03863794899342232,1.777132341022089e-05,0.0
Carytown,0.8697932244665897,0.03882121480909182,0.02722117282686528,0.01918561984163779,0.00019993156721603318,0.0
Cedarhurst,0.4529168781246778,0.4216091216199663,0.021297214549000573,0.02943147445902998,3.320108372984449e-05,0.0
Central Office,0.6591148577449947,0.16174920969441517,0.039515279241306635,0.07744994731296101,0.0,0.0
Chamberlayne Industrial Center,0.2118450240413545,0.6382423042411464,0.023221807826258888,0.021580508570299205,0.00394011107152935,0.0
Cherry Gardens,0.16076822492137244,0.672675500173074,0.14722489622635523,0.00018715162083719728,0.0,0.0
Chimborazo,0.5537762140547092,0.3551970954152937,0.02853260077321444,0.014388296093729313,0.00375997318870518,0.0
Chippenham Forest,0.5723812460460231,0.4003894495588244,0.006924027644359307,0.0015326702952850673,0.0,0.0
Church Hill,0.6456809405551911,0.24107187061031532,0.027752274206173783,0.045589759146725244,0.0013588548502985007,0.0
Church Hill North,0.286098958267287,0.5971657388231745,0.023208897261341097,0.024708435444639864,0.0,0.0
City Center,0.4600228959874436,0.34833422440998146,0.05172796802684049,0.06697933400023391,0.006470964914658836,0.0
Cofer,0.1960449813529029,0.7255280534207205,0.055123091072498756,0.0003224493844107719,3.3554405710842916e-05,0.0
Colonial Place,0.9189018349012149,0.01761671445941564,0.02352981440997371,0.017763059541930082,0.0,0.0
Commerce Road Industrial Area,0.0851632806250552,0.5754280235548338,0.29612235451865637,0.01670606501591392,2.2982156526002572e-05,0.0
Cottrell Farms,0.2340120511983585,0.3053978018456821,0.3749985076689869,0.014263091464815077,0.0,0.0
Country Club of Virginia,0.7570398478297604,0.08625492267085688,0.052884476681162126,0.08020688657509688,0.005463938351032106,0.0
Creighton,0.012247366860064559,0.967302180030614,0.013380825861124351,4.178883801695983e-05,0.0,0.0
Cullenwood,0.11205527067566858,0.6025556688330345,0.2703313656050744,8.197289559976126e-07,0.0,0.0
Davee Gardens,0.04957958828645984,0.6503334299797043,0.25369672368802554,0.015946651203247317,0.0,0.0
Deerbourne,0.11235572768181418,0.6029210207127969,0.26963069849607724,3.9284786713737e-06,0.0,0.0
Eastview,0.011965904723302653,0.9674587595898507,0.013168225030211788,0.0005630792195653781,3.0491377525556694e-05,0.0
Edgewood,0.19344960180456694,0.752766827902965,0.005851154505424843,0.02121604181332134,9.495967084118394e-05,0.0
Elkhardt,0.11029671784067079,0.6391821191851057,0.21688130066751796,0.005535429495942459,0.0,0.0
Fairfield,0.010239548964070838,0.9716643557020364,0.012619351489946912,0.0,9.491728224232486e-08,0.0
Fairmount,0.12384562673426058,0.8139692490496929,0.018678242664962715,0.01085150778179853,0.0014860740488037896,0.0
Fawnbrook,0.18732865405356391,0.7108634953386592,0.08160428763885187,0.0,0.00010384904307996463,0.0
Forest Hill,0.5851501596956267,0.3894549043094252,0.009445680301312773,0.0019524128093404674,0.0,0.0
Forest Hill Park,0.5669748870175328,0.376700734502388,0.01852689151940232,0.017378132170976363,0.0,0.0
Forest Hill Terrace,0.6993886623436241,0.27146888023415383,0.012905731848111772,0.0015457575131497573,0.0,0.0
Forest View,0.8577311967740393,0.10177060818605072,0.020150765262856148,0.003326635459380409,2.9132500258232884e-05,0.0
Fulton,0.16204839295544948,0.7757380666112788,0.013697410950058149,0.0013475904280728786,0.002373842248084576,0.0
Gambles Hill,0.6717833879625495,0.15775265116618745,0.03969443955033022,0.07298595820140223,0.0,0.0
Gilpin,0.013735105755697167,0.9634391666216822,0.00036558832031904204,0.00043119288098982,5.0708015562624834e-05,0.0
Ginter Park,0.5374685638561709,0.37336351506083754,0.01745788145472104,0.015459701215329347,3.6583663483076184e-05,0.0
Ginter Park Terrace,0.3962585315906517,0.4814979535620409,0.016869999989856187,0.01168631289748069,0.011625973133266678,0.0
Gravel Hill,0.7299891461988315,0.17874800567260854,0.012710332220895135,0.06965674333249702,0.0,0.0
Green Park,0.08408444227593631,0.8682631993014204,0.021515149321774493,0.016156519003919838,0.0010895467753218907,0.0
Hickory Hill,0.12365305359330538,0.5974073140236554,0.2600996288703367,0.0006826535646580892,0.0,0.0
Highland Park Southern Tip,0.1461090043857548,0.7959145340456599,0.01260090174184164,0.006872278921576981,1.7376739166625466e-06,0.0
Highland Terrace,0.06111178118550466,0.8964469952008604,0.02535017900280997,0.01539415163915339,0.0016244610122449282,0.0
Hillside Court,0.10419853816080231,0.7593064762876084,0.050994390617032134,0.0,0.00271970083290838,0.0
Hioaks,0.05931835691444055,0.8559097981711714,0.05373606280474701,0.007297889864664295,0.0,0.0
Hollywood Cemetery,0.3156191319359332,0.6016517641362977,0.031366948271859346,0.015336572109583944,0.0,0.0
Huguenot,0.8739921245077817,0.09131820738796174,0.004125257828614288,0.022688918057378587,0.0,0.0
Jackson Ward,0.3729182596969582,0.5305921541407067,0.03533618100316993,0.03059871798279911,3.332308031506511e-07,0.0
Jahnke,0.3033550492909549,0.604770526438705,0.03405219637582336,0.0188024090297572,0.0007104630597753084,0.0
Jeff Davis,0.12194816192622929,0.49436900602016215,0.34443631145206927,0.01774084853720464,0.0,0.0
John Marshall,0.3282659477779997,0.6275974607618753,0.012144903707807195,0.006223711630501587,0.0025185761411089967,0.0
Laburnum Park,0.6133939471336608,0.2986078353455771,0.017754982842841698,0.013267902554967334,0.0,0.0
Magnolia Industrial Center,0.1535166967205682,0.7884406144566386,0.012175758421521061,0.00030533381821103384,0.0,0.0
Malvern Gardens,0.8802350407775726,0.07463496170530143,0.006969569625499252,0.02022003190412684,0.0,0.0
Manchester,0.46707573968590865,0.3694439641404081,0.02499503550723537,0.010643985842143145,0.0,0.0
Mary Munford,0.9543348504108718,0.0013352858555227237,0.015562091499838518,0.024562567851637716,0.0,0.0
Maury,0.10433925251913963,0.7592264786026041,0.05099135379438019,2.9386222165082975e-06,0.002716478359136211,0.0
Maymont,0.3126369782599013,0.6093265995439546,0.03354259281621403,0.01642893065065365,0.0,0.0
Maymont Park,0.4630445168795436,0.4761695415019523,0.01718278767257796,0.024269793034975885,0.0,0.0
McGuire,0.11726247809406312,0.6525168911247042,0.17874753038860763,0.01370882640984302,4.0646969722524106e-06,0.0
McGuire Manor,0.08800179446294008,0.6242772594581995,0.226560593886495,0.018271015259482187,2.1929297528570723e-05,0.0
McGuire Veterans Hospital,0.19693800081513577,0.7248758101421897,0.0555670108588298,0.0003691035448344588,0.0,0.0
Midlothian,0.08815720966957817,0.5473432414632817,0.3249782746986673,0.011785748507672273,0.0022651815264801956,0.0
Monroe Ward,0.48357555977823286,0.2257659050069592,0.07135834430084978,0.10073777255396697,0.014562465709053151,5.2794957383028943e-05
Monument Avenue Park,0.9296187683284457,0.0,0.02932551319648094,0.01759530791788856,0.0,0.0
Mosby,0.05966387402602228,0.8934886859802903,0.022910525802898738,9.147539772821618e-06,0.0031351412220035468,0.0
Museums,0.7096627164995443,0.17183226982680036,0.03236098450319052,0.06198723792160438,0.0,0.0
Newtowne West,0.7090289078105503,0.17241897687876445,0.03235274809981051,0.06193635655847026,4.964053056131334e-06,0.0
North Highland Park,0.08326012566667745,0.8707148225145321,0.022218599563978713,0.011814687371985828,0.0012436513023142976,0.0
Northern Barton Heights,0.2340160234710283,0.6706333073361501,0.017619528940103945,0.01214302561209574,0.004505627065124858,0.0
Northrop,0.5409328832910024,0.4380463017482893,0.00757623409165362,0.000323991514622223,5.303105175635526e-05,0.0
Oak Grove,0.1302963693876225,0.7845717751969336,0.02946500144181093,0.0034370824850741655,0.0005382607215108367,0.0
Oakwood,0.14378278309163836,0.681579759333539,0.06325208269052762,0.0027769207034865784,0.0,0.0
Oakwood Cemetery,0.14362461655122052,0.683270600319956,0.06269882058034652,0.0027452834559773777,4.577867325360161e-12,0.0
Old Town Manchester,0.4959114026510583,0.3360708345254918,0.035131096782757054,0.012821296390059937,1.3904218962746263e-05,0.0
Oregon Hill,0.7857234286599264,0.14633834177764235,0.040755428454253485,0.01893679800606267,0.0,0.0
Oxford,0.5726608498417343,0.40005354480791333,0.006927358521941321,0.0016020677958881605,0.0,0.0
Parnell Industrial Area,0.11807763630993831,0.5819391455045418,0.2835515648067763,0.001548519963219755,0.0,0.0
Peter Paul,0.09598992673567144,0.8573079993204834,0.013863443043929361,0.010112879173482948,1.264474176423077e-05,0.0
Pine Camp,0.13592776764201825,0.8505359708269236,0.008274768977625226,0.0005748279875898798,0.004137384488812613,0.0
Piney Knolls,0.18278781092998392,0.6380343017539213,0.1392327927600129,4.611907597708186e-05,0.008109480141005963,0.0
Pocoshock,0.11029098651525904,0.6391767210787792,0.2168914123491838,0.0055358410220014195,0.0,0.0
Powhite Park,0.4531168150864327,0.4215121354985158,0.020778767242884584,0.029509341714684827,0.0,0.0
Providence Park,0.12297882429936302,0.8265538614154129,0.021381555070434745,0.008049243737185786,0.0019095346832417822,0.0
Randolph,0.3763824776708507,0.5640311862827886,0.02552074514187791,0.014559587948747876,0.0,0.0
Reedy Creek,0.22261382659067142,0.6985965772984858,0.04844192211609883,0.0023068584678507336,0.0,0.0
Rosedale,0.7153485258799226,0.24729790849189515,0.02167136206233951,0.0003089751061718083,0.0,0.0
Sauer's Gardens,0.878623648036148,0.07695722084944562,0.0063050317755931045,0.020310300582489255,0.0,0.0
Scott's Addition,0.7725506352184288,0.1387404879733609,0.021248474127362763,0.046034599332247926,0.0,0.0
Sherwood Park,0.5996196161752317,0.3109909873614044,0.017452889984050868,0.013179218874858371,0.0007450219347574557,0.0
Shockoe Bottom,0.4520458796224952,0.38980156475776384,0.0733307441940639,0.031560389748732647,6.074541252425847e-05,0.0
Shockoe Slip,0.6538306046204744,0.16750808744271983,0.04116699186999174,0.07530265884181955,0.0,0.0
South Garden,0.1808793226390448,0.6194670720004596,0.1545952307802394,8.564408565499989e-05,0.010192445283795776,0.0
Southampton,0.8716746382851767,0.0936947629123379,0.004146553214696922,0.022524599607133464,0.0,0.0
Southern Barton Heights,0.1445192914304148,0.7824314659250474,0.015230205064770267,0.018340612853230503,0.0006287288493206466,0.0
Southwood,0.0491174931014652,0.4267362854487789,0.4863128620590265,0.012332798456671198,0.0033493887079246226,0.0
Stadium,0.6329695175641616,0.306465575244533,0.00012840003040861937,0.0496509337221438,0.0,0.0
Stonewall Court,0.9177867426430979,0.044341791379404624,0.006510049551394926,0.011092457988878394,0.0,0.0
Stony Point,0.8739921245077817,0.09131820738796176,0.0041252578286142885,0.022688918057378587,0.0,0.0
Stratford Hills,0.7073764081116685,0.2181968993678153,0.010992519267485304,0.05497074215087391,0.0,0.0
Swansboro,0.2762288334778619,0.631019835683012,0.03671553041568919,0.007158887943866166,3.465937243719484e-09,0.0
Swansboro West,0.22190220476174105,0.6983932044567636,0.049213167790331636,0.002377819083443829,0.0,0.0
Swanson,0.10950106005212042,0.6364111524963869,0.22039527082927082,0.005622410087309281,4.4162196304042915e-05,0.0
The Diamond,0.7050960367798537,0.19160358590228047,0.030105651735899856,0.04963434133157683,9.05711467233033e-05,0.0
The Fan,0.8087904698870438,0.08645227674152242,0.056853087309247596,0.025179709019963286,0.0,5.109928434158874e-07
The Museum District,0.8412797369254736,0.05598032391815482,0.034070321032769996,0.031041202412254852,9.284489947898623e-05,0.0
Three Chopt,0.7573971946527496,0.08616372174602924,0.0527812045428146,0.08005126677023444,0.005451849100498724,0.0
Union Hill,0.5015789458809115,0.3411804008063872,0.041580160460793755,0.06613349274467725,4.51613875439589e-07,0.0
University of Richmond,0.7570257611241218,0.0862607338017174,0.05288836846213896,0.08021077283372366,0.00546448087431694,0.0
Upper Shockoe Valley,0.20509238571983535,0.7059578674591623,0.045548731554080304,0.007233489573440656,0.0019376986502432113,0.0
VCU,0.5275610577208245,0.21952177058027872,0.05925628229454621,0.12533367078239627,0.0,0.002595379982315505
Virginia Union,0.2782916240981719,0.5788498116073546,0.021514675671393077,0.018735927773300704,0.006528366855627057,0.0
Walmsley,0.11253563985374646,0.6005585596362799,0.27146605529547657,8.121653844426128e-05,0.0,0.0
Warwick,0.10978035099340307,0.6374121363438433,0.21913463952490303,0.005591606978006712,2.7316675593778584e-05,0.0
Washington Park,0.11867226908686383,0.8684899085367346,0.00855084133492249,5.513409146924785e-06,0.004274709259829384,0.0
Westhampton,0.9177127040911751,0.044376243466158524,0.006521063949153264,0.0111209820740795,2.318035354388398e-06,0.0
Westlake Hills,0.4531180168313811,0.4215110817978246,0.020778732222407847,0.02950951597166779,0.0,0.0
Westover,0.23293931264986695,0.592977738362645,0.09573323739582357,0.028769834647869773,0.00483349480718043,0.0
Westover Hills,0.9150442907607049,0.041585716796917443,0.02187694703757929,0.0039827885299387475,0.0,0.0
Westover Hills West,0.4656011298902818,0.41071309258166044,0.02062892356257821,0.0295766832376744,0.0,0.0
Whitcomb,0.04394402825535157,0.8968851465148439,0.02233437992361313,0.008210234217721863,0.0009785476399946343,0.0
Willow Oaks,0.7434551532501685,0.16688586716625595,0.012429652472016519,0.07060424392871865,0.0,0.0
Willow lawn,0.9257341575439346,0.014557997554914619,0.02183489421996215,0.015460336135704833,0.0,0.0
Wilton,0.8984135109901427,0.028202213806022426,0.013683239533103521,0.04114260937413269,8.017590474370097e-07,0.0
Windsor,0.05254199334343865,0.6562438750578248,0.24270261966492718,0.015081741858137983,0.00014751026007297894,0.0
Windsor Farms,0.897673287976556,0.02886131035048176,0.013673673855092276,0.04129855688567712,0.0,0.0
Woodhaven,0.04795410297675048,0.42376140348448854,0.49073799218555253,0.012343585011844375,0.0033347394614446865,0.0
Woodland Heights,0.5217243470404328,0.3597323364578202,0.02955617162836252,0.03534979915210885,0.0,0.0
Woodville,0.06453130251230822,0.8992927008724299,0.013383023331161311,0.006417395981755005,0.0,0.0
Worthington,0.11016804514704608,0.638751877031792,0.21743149506257017,0.00554926731656486,6.5768034709427235e-06,0.0
