Name,pct_white,pct_black,pct_hispanic,pct_asian,pct_native,pct_hipi,householdincome_avghinc_cy
Ancarows Landing,0.1765442581819247,0.7436931984323054,0.02571865590671899,0.005343033110134037,0.0,0.0,33114.087577923114
Beaufont,0.058280718795531816,0.8567265662943176,0.05390966488586693,0.007285089849441477,0.0,0.0,45781.542517388625
Belle and Mayo Islands,0.3073979591836735,0.6138392857142857,0.03411989795918367,0.016262755102040817,0.0,0.0,54037.80641147145
Bellemeade,0.0,0.0,0.0,0.0,0.0,0.0,33372.707778717086
Bellevue,0.0,0.0,0.0,0.0,0.0,0.0,86229.55874438467
Belmont Woods,0.18738689844627943,0.7117645248632951,0.08089096616577171,0.0,3.0674014287143043e-06,0.0,56835.00000000001
Belt Center,0.22797634333964725,0.5803387534416458,0.11706349345144886,0.027223865000190285,0.004649316013989167,0.0,58460.628594951624
Biotech and MCV District,0.0,0.0,0.0,0.0,0.0,0.0,53189.19066625429
Blackwell,0.2812398042414356,0.598042414355628,0.0026101141924959217,0.0032626427406199023,0.0,0.0,52808.36756179374
Brauers,0.05840072769267571,0.8951033135329207,0.022686432378254327,1.5453743695306023e-09,0.0031446538164495753,0.0,25531.080723397765
British Camp Farms,0.23408007540816148,0.30536866731179824,0.3749277593166029,0.014265107439052255,7.500760073950913e-06,0.0,66710.10112879644
Broad Rock,0.22243919758565597,0.6987395703887803,0.048464406177880344,0.00230782886561335,0.0,0.0,36202.61895450945
Broad Rock Industrial Park,0.04957958828645984,0.6503334299797042,0.2536967236880255,0.015946651203247317,0.0,0.0,54705.678170414336
Broad Rock Sports Complex,0.1814441472947953,0.6198313104299527,0.15367208393334705,0.0,0.010285949393128985,0.0,56853.525745319115
Brookbury,0.1873886711791949,0.7117919486996793,0.08086925543284647,0.0,0.0,0.0,57118.87191844969
Brookhaven Farms,0.0,0.0,0.0,0.0,0.0,0.0,56713.15299301781
Brookland Park,0.09130360415933492,0.8635867680996872,0.020873279163954407,0.016884899760338905,0.0012537311441686574,0.0,70582.93808061877
Bryan Park,0.0,0.0,0.0,0.0,0.0,0.0,84214.0
Byrd Park,0.630451415455241,0.3091048201989288,0.0,0.04973221117061974,0.0,0.0,102251.98990495874
Capitol District,0.6585441992461344,0.1623711239845763,0.03969365144018189,0.07721805675308685,0.0,0.0,55661.860443718535
Carillon,0.9177858869180884,0.03886572438244467,0.022047869292876065,0.0037369588639590214,0.0,0.0,116213.51421294716
Carver,0.2165845172513772,0.6300376920846622,0.023775007248477822,0.022035372571759932,0.004059147579008408,0.0,58024.990258256184
Carytown,0.6304944927073328,0.30905081473525137,8.192812713250305e-06,0.04972667915704495,0.0,0.0,92197.0
Cedarhurst,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central Office,0.6591148577449948,0.1617492096944152,0.03951527924130664,0.07744994731296101,0.0,0.0,0.0
Chamberlayne Industrial Center,0.21295047862193875,0.6362660727379192,0.0233503606645927,0.021679519318631144,0.0039716492188046305,0.0,0.0
Cherry Gardens,0.17771095467984116,0.6970637018639716,0.1044075455955055,0.0002519592462093702,0.0,0.0,0.0
Chimborazo,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chippenham Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Church Hill,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Church Hill North,0.0,0.0,0.0,0.0,0.0,0.0,0.0
City Center,0.47958794353300266,0.22548645555131627,0.0724914154902709,0.10110644792064098,0.015261350629530714,0.0,0.0
Cofer,0.10419853816080231,0.7593064762876083,0.05099439061703212,0.0,0.00271970083290838,0.0,0.0
Colonial Place,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Commerce Road Industrial Area,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cottrell Farms,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Country Club of Virginia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Creighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cullenwood,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davee Gardens,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deerbourne,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eastview,0.010626261501774703,0.9705997342242856,0.012758069838492333,0.00017335519644607808,0.0,0.0,0.0
Edgewood,0.19237610007153116,0.7539023920982556,0.0067299705557358255,0.019361467504923152,0.0003052003092903696,0.0,0.0
Elkhardt,0.1102955738933871,0.6391810417468824,0.2168833189145977,0.005535511634729476,0.0,0.0,0.0
Fairfield,0.010242240466106372,0.9716600770648578,0.012619914091948743,0.0,2.7065195483559535e-07,0.0,0.0
Fairmount,0.1101909936796249,0.8310268340446123,0.01952065832037051,0.008598954339205177,0.0018283482786280961,0.0,0.0
Fawnbrook,0.187350061605338,0.7111946660368039,0.08134210847181846,0.0,6.680705309711668e-05,0.0,0.0
Forest Hill,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forest Hill Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forest Hill Terrace,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Forest View,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fulton,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gambles Hill,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gilpin,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ginter Park,0.6069977635399959,0.25518973882885115,0.03282763218005987,0.012787282782744278,2.0271797954873824e-05,0.0,0.0
Ginter Park Terrace,0.39637026821279975,0.4813932121278197,0.016871491479371534,0.011685853422771822,0.011622459413212544,0.0,0.0
Gravel Hill,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Green Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hickory Hill,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Highland Park Southern Tip,0.14701012822265339,0.7949490317397795,0.01257718200017185,0.006691895327646487,0.0,0.0,0.0
Highland Terrace,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hillside Court,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hioaks,0.45311681508643264,0.4215121354985158,0.02077876724288458,0.029509341714684823,0.0,0.0,0.0
Hollywood Cemetery,0.606776180698152,0.27464065708418894,0.03850102669404517,0.046714579055441484,0.0,0.0,0.0
Huguenot,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jackson Ward,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jahnke,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeff Davis,0.19719229513548805,0.7251061051256937,0.05517466536075743,0.000326477309826967,0.0,0.0,0.0
John Marshall,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Laburnum Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Magnolia Industrial Center,0.03701594533029613,0.8980637813211846,0.02220956719817768,0.011958997722095672,0.0,0.0,0.0
Malvern Gardens,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manchester,0.28304607055851644,0.5959569056335143,0.0027865231825467862,0.0036172626822159725,0.0,0.0,0.0
Mary Munford,0.9204807165483285,0.03424583384313819,0.0117047867274398,0.012573058900696618,0.0,0.0,0.0
Maury,0.10419853816080231,0.7593064762876084,0.05099439061703212,0.0,0.00271970083290838,0.0,0.0
Maymont,0.6297677029837393,0.30982643017950884,6.561578577448282e-05,0.04961692518887773,0.0,0.0,0.0
Maymont Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0
McGuire,0.0,0.0,0.0,0.0,0.0,0.0,0.0
McGuire Manor,0.0,0.0,0.0,0.0,0.0,0.0,0.0
McGuire Veterans Hospital,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Midlothian,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monroe Ward,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monument Avenue Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mosby,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Museums,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Newtowne West,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Highland Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northern Barton Heights,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northrop,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oak Grove,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oakwood,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oakwood Cemetery,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Old Town Manchester,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oregon Hill,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oxford,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Parnell Industrial Area,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peter Paul,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pine Camp,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Piney Knolls,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pocoshock,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Powhite Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Providence Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Randolph,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reedy Creek,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rosedale,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sauer's Gardens,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scott's Addition,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sherwood Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shockoe Bottom,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shockoe Slip,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Garden,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Southampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Southern Barton Heights,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Southwood,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stadium,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stonewall Court,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stony Point,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stratford Hills,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Swansboro,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Swansboro West,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Swanson,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Diamond,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Fan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Museum District,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Three Chopt,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Union Hill,0.0,0.0,0.0,0.0,0.0,0.0,0.0
University of Richmond,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Upper Shockoe Valley,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCU,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Virginia Union,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Walmsley,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Warwick,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Washington Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Westhampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Westlake Hills,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Westover,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Westover Hills,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Westover Hills West,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Whitcomb,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Willow lawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Willow Oaks,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wilton,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Windsor,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Windsor Farms,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Woodhaven,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Woodland Heights,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Woodville,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Worthington,0.0,0.0,0.0,0.0,0.0,0.0,0.0
